activityType,L2_Activity,L3_Activity
cycling,Outdoor Cycling,Cycling
hiking,Hiking,Leisure Activity
indoor_cardio,Indoor Cardio,Gym
indoor_cycling,Indoor Cycling,Cycling
lap_swimming,Pool Swimming,Swimming
multi_sport,Triathlon,Triathlon
open_water_swimming,Open Water Swimming,Swimming
other,Gym,Gym
running,Outdoor Running,Running
strength_training,Strength Training,Strength
treadmill_running,Indoor Running,Running
virtual_ride,Indoor Cycling,Cycling
walking,Walking,Leisure Activity
road_biking, Outdoor Cycling, Cycling
